DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
24-Apr-2026,EQ,"1,340.00","1,345.90","1,325.00","1,343.40","1,331.00","1,327.80","1,333.01","1,611.80","1,267.00",11744802,"15,65,59,32,416.20",197088
23-Apr-2026,EQ,"1,346.00","1,355.50","1,340.70","1,362.10","1,344.40","1,343.40","1,347.84","1,611.80","1,267.00",16385079,"22,08,44,84,854.70",209218
22-Apr-2026,EQ,"1,350.30","1,366.00","1,349.10","1,353.30","1,362.00","1,362.10","1,360.40","1,611.80","1,267.00",9525953,"12,95,91,00,398.90",153909
21-Apr-2026,EQ,"1,359.00","1,369.80","1,350.10","1,363.30","1,354.90","1,353.30","1,356.60","1,611.80","1,267.00",27293629,"37,02,64,49,570.40",297701
20-Apr-2026,EQ,"1,363.20","1,373.00","1,352.80","1,365.00","1,361.10","1,363.30","1,365.92","1,611.80","1,267.00",13614733,"18,59,65,70,380.60",240331
17-Apr-2026,EQ,"1,340.00","1,368.40","1,340.00","1,343.30","1,364.90","1,365.00","1,359.14","1,611.80","1,227.60",13869105,"18,85,00,89,777.30",226433
16-Apr-2026,EQ,"1,352.00","1,353.80","1,330.00","1,344.10","1,345.90","1,343.30","1,338.46","1,611.80","1,227.60",30211012,"40,43,61,95,396.30",333177
15-Apr-2026,EQ,"1,337.00","1,347.00","1,334.20","1,315.10","1,342.90","1,344.10","1,340.02","1,611.80","1,227.60",15313779,"20,52,08,18,325.60",259818
13-Apr-2026,EQ,"1,321.20","1,327.60","1,310.00","1,350.20","1,314.00","1,315.10","1,316.46","1,611.80","1,227.60",28753269,"37,85,25,16,273.60",456747
10-Apr-2026,EQ,"1,337.00","1,352.30","1,331.50","1,330.00","1,350.00","1,350.20","1,346.97","1,611.80","1,114.85",19364461,"26,08,33,04,335.70",228260
09-Apr-2026,EQ,"1,346.00","1,350.00","1,326.30","1,347.80","1,330.00","1,330.00","1,333.26","1,611.80","1,114.85",20725390,"27,63,22,49,237.20",277395
08-Apr-2026,EQ,"1,349.00","1,350.60","1,326.20","1,304.60","1,349.40","1,347.80","1,343.02","1,611.80","1,114.85",21817543,"29,30,14,22,736.40",434059
07-Apr-2026,EQ,"1,295.00","1,308.30","1,291.00","1,304.70","1,307.30","1,304.60","1,298.73","1,611.80","1,114.85",28388922,"36,86,96,41,751.60",364146
06-Apr-2026,EQ,"1,359.00","1,359.00","1,290.00","1,350.50","1,306.00","1,304.70","1,306.37","1,611.80","1,114.85",29274881,"38,24,37,83,551.00",584670
02-Apr-2026,EQ,"1,357.00","1,358.20","1,328.00","1,369.20","1,350.90","1,350.50","1,346.65","1,611.80","1,114.85",21280051,"28,65,68,73,097.20",335321
01-Apr-2026,EQ,"1,384.20","1,384.40","1,362.90","1,343.90","1,369.50","1,369.20","1,372.02","1,611.80","1,114.85",14404619,"19,76,33,87,955.30",241179
30-Mar-2026,EQ,"1,335.00","1,365.00","1,334.10","1,348.10","1,348.30","1,343.90","1,347.25","1,611.80","1,114.85",24393861,"32,86,45,44,984.70",426526
27-Mar-2026,EQ,"1,401.00","1,404.70","1,345.00","1,413.10","1,348.00","1,348.10","1,359.97","1,611.80","1,114.85",23266517,"31,64,17,34,742.50",546051
25-Mar-2026,EQ,"1,420.00","1,430.50","1,408.40","1,411.80","1,413.80","1,413.10","1,418.75","1,611.80","1,114.85",19041331,"27,01,49,40,455.50",313024
24-Mar-2026,EQ,"1,420.00","1,422.40","1,406.60","1,407.80","1,414.00","1,411.80","1,413.20","1,611.80","1,114.85",18620893,"26,31,50,89,062.40",304313
